"ts_code","trade_date","close","turnover_rate","turnover_rate_f","volume_ratio","pe","pe_ttm","pb","ps","ps_ttm","dv_ratio","dv_ttm","total_share","float_share","free_share","total_mv","circ_mv"
"002652.SZ","20260309","4.89","5.9348","8.4778","0.89","357.2525","","9.9857","7.3571","8.3142","","","51206.4","51206.4","35846.4","250399.296","250399.296"
"920662.BJ","20260309","27.53","7.6793","8.2197","0.77","80.8571","123.7979","5.25","6.9426","6.2373","0.6248","0.6248","8755.0002","2700.6082","2523.0687","241025.1555","74347.7437"
"600575.SH","20260309","3.89","2.2721","6.1865","1.39","32.5005","36.3129","1.2531","0.9286","1.0054","","","716679.217","388626.1065","142729.1911","2787882.1541","1511755.5543"
"000509.SZ","20260309","3.87","14.0421","23.6187","2.81","","","33.419","4.0227","4.5872","","","107312.8052","107312.4808","63800.9873","415300.5561","415299.3007"
"603081.SH","20260309","12.24","1.3469","2.3075","0.93","80.0424","49.6866","1.6175","2.8059","2.1815","1.0621","1.0621","42249.9149","42249.9149","24661.3999","517138.9584","517138.9584"
"601698.SH","20260309","38.2","1.8794","8.5433","0.86","355.0585","622.1647","10.1691","63.504","61.236","0.0846","0.0846","422438.5412","422438.5412","92929.1824","16137152.2738","16137152.2738"
"688563.SH","20260309","67.94","3.2137","3.2137","0.59","52.6173","57.0175","2.9358","10.427","10.697","0.7837","0.7837","45000","11698.8993","11698.8993","3057300","794823.2184"
"000833.SZ","20260309","26.66","20.9971","25.6944","1.32","76.7629","42.9692","5.4784","7.6475","7.3254","0.4576","0.4576","80208.2221","45370.2026","37075.8377","2138351.2012","1209569.6013"
"600833.SH","20260309","12.61","1.4418","2.6191","0.8","17.2519","40.7662","2.4235","1.4689","1.349","1.7446","1.7446","22308.6347","22308.6347","12281.1613","281311.8836","281311.8836"
"603680.SH","20260309","14.65","1.1712","7.2932","1.75","38.0098","22.7538","2.0947","2.5518","2.3077","2.0478","2.0478","78371.8767","78371.8767","12585.5817","1148147.9937","1148147.9937"
"002188.SZ","20260309","7.01","4.2376","5.5263","0.94","323.8604","86.4775","7.07","6.3175","5.7754","","","32710.3864","25736.3007","19735.0005","229299.8087","180411.4679"
"000778.SZ","20260309","5","2.1225","3.5548","1.1","118.3449","51.6836","0.7568","0.5475","0.5459","0.4","0.4","396318.2285","389360.5496","232480.2057","1981591.1425","1946802.748"
"920027.BJ","20260309","20.16","2.1226","2.3424","0.86","29.9062","36.262","3.4913","4.7627","4.3878","0.5952","0.5952","7920.35","4220.35","3824.3325","159674.256","85082.256"
"300593.SZ","20260309","29.1","4.5772","4.8605","0.99","","","6.6141","17.1272","13.5118","","","54249.8469","45026.3501","42402.4023","1578670.5448","1310266.7879"
"603530.SH","20260309","68.54","3.0426","14.4383","0.74","95.2199","79.5037","18.1244","22","18.3468","0.6674","0.6674","43168.4575","42746.4774","9007.9472","2958766.0771","2929843.561"
"688357.SH","20260309","36.42","3.673","5.9082","1.96","48.7475","36.9878","2.0892","4.6795","4.3339","0.5491","0.5491","10005.9875","10005.9875","6220.5575","364418.0648","364418.0648"
"301389.SZ","20260309","48.5","9.7267","10.022","0.85","167.2074","123.5467","6.2742","47.7518","37.1171","1.0676","1.0676","28350","8456.9047","8207.7047","1374975","410159.878"
"002107.SZ","20260309","6.96","1.5869","3.224","0.95","41.9722","41.9722","6.2816","4.9175","4.9175","1.7241","3.8218","57720.96","57139.4016","28124.7653","401737.8816","397690.2351"
"603833.SH","20260309","54.94","0.3777","1.4712","0.99","12.8762","13.9401","1.8396","1.7684","1.8328","4.4886","6.7329","60915.2867","60915.2867","15637.4513","3346685.8513","3346685.8513"
"600545.SH","20260309","3.89","17.1573","31.7891","2.51","","","2.1766","1.7274","1.7873","","","178791.2222","178791.2222","96497.6549","695497.8544","695497.8544"
"002676.SZ","20260309","7.29","1.526","2.4695","0.87","96.9216","74.7568","4.0255","1.946","1.8296","0.1372","0.1372","72000","71997.6459","44489.4056","524880","524862.8386"
